Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
ActusRayPartners Limited,SAGA PLC,GB00BMX64W89,0.70,01/06/2023
Fosse Capital Partners LLP,SAVILLS PLC,GB00B135BJ46,0.73,02/12/2022
Tellworth Investments LLP,SAVILLS PLC,GB00B135BJ46,0.70,26/06/2023
GLG Partners LP,SERCO GROUP PLC,GB0007973794,0.90,28/06/2023
Marshall Wace LLP,SERCO GROUP PLC,GB0007973794,0.60,16/06/2023
Ennismore Fund Management Limited,SIG PLC,GB0008025412,1.50,19/05/2022
"AQR Capital Management, LLC",Signature Aviation PLC,GB00BKDM7X41,0.60,07/08/2019
GLG Partners LP,Smart Metering Systems,GB00B4X1RC86,0.51,28/06/2023
Citadel Advisors LLC,SMITH & NEPHEW PLC,GB0009223206,0.59,23/06/2023
XIB Asset Management Inc,SOLGOLD PLC,GB00B0WD0R35,0.50,09/12/2022
GLG Partners LP,SPIRE HEALTHCARE GROUP PLC,GB00BNLPYF73,0.90,06/07/2023
JPMorgan Asset Management (UK) Ltd,SUPERMARKET INCOME REIT PLC,GB00BF345X11,0.61,21/06/2023
GLG Partners LP,SYNTHOMER PLC,GB0009887422,0.62,26/05/2023
Marshall Wace LLP,TAYLOR WIMPEY PLC,GB0008782301,1.02,06/07/2023
GLG Partners LP,TELECOM PLUS PLC,GB0008794710,0.71,28/06/2023
Garraway Capital Management LLP,Telit Communications PLC,GB00B06GM726,0.59,01/05/2019
Canada Pension Plan Investment Board,The British Land Co. PLC,GB0001367019,0.50,23/03/2023
Kintbury Capital LLP,The British Land Co. PLC,GB0001367019,1.06,21/06/2023
Millennium International Management LP,The British Land Co. PLC,GB0001367019,0.70,27/06/2023
JPMorgan Asset Management (UK) Ltd,THE GYM GROUP PLC,GB00BZBX0P70,0.54,19/05/2023
LMR Partners LLP,The Weir Group PLC,GB0009465807,0.90,26/05/2020
Qube Research & Technologies Limited,THG PLC,GB00BMTV7393,0.90,19/06/2023
Systematica Investments Limited,THG PLC,GB00BMTV7393,0.60,29/06/2023
Fosse Capital Partners LLP,Trainline PLC,GB00BKDTK925,0.70,01/03/2022
